Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading HARD real corpus (20 Newsgroups: comp.*/rec.autos+motorcycles/sci.electronics) and encoding with all-MiniLM-L6-v2 ...
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5646.64it/s]
  done in 33.3s. corpus per-dim std = 0.04882 (embedding dim=384, unit-normalized)

--- Query noise sweep on HARD real embeddings (n_qubits=8) ---
(corpus per-dim std=0.04882; multiplier x that std = actual noise scale)
   mult   random_q    pca_q   classical
    0.2      0.940    1.000       1.000
    1.2      0.140    0.980       1.000
    2.0      0.020    1.000       1.000
    4.0      0.020    0.980       0.980
    6.0      0.020    0.840       0.840
    8.0      0.000    0.640       0.640
   10.0      0.000    0.360       0.380
   12.0      0.000    0.320       0.320
   16.0      0.020    0.180       0.180
   20.0      0.020    0.140       0.140
